291,507,335,573,1.0000,0,1
1711,325,1737,387,2.0000,0,2
1112,480,1144,542,3.0000,0,3
916,198,950,246,4.0000,0,4
844,573,891,638,5.0000,0,5
1133,351,1155,408,6.0000,0,6
1671,463,1699,525,7.0000,0,7
1315,806,1342,886,8.0000,0,8
336,363,380,416,9.0000,0,9
284,775,320,848,10.0000,0,10
292,422,320,481,11.0000,0,11
712,342,743,397,12.0000,0,12
745,391,772,453,13.0000,0,13
946,266,981,327,14.0000,0,14
991,146,1019,194,15.0000,0,15
802,245,832,297,16.0000,0,16
416,200,463,255,17.0000,0,17
1486,226,1516,275,18.0000,0,18
555,93,587,142,19.0000,0,19
839,148,868,190,20.0000,0,20
886,154,923,203,21.0000,0,21
1871,51,1896,108,27.0000,0,27
472,68,504,118,22.0000,0,22
