912,432,937,482,3.0000,0,3
641,463,667,515,5.0000,0,5
1625,478,1658,533,7.0000,0,7
1388,694,1415,756,8.0000,0,8
308,443,339,489,10.0000,0,10
616,243,644,283,16.0000,0,16
556,240,587,279,17.0000,0,17
1267,387,1285,434,6.0000,0,6
1298,304,1322,354,14.0000,0,14
1816,998,1838,1057,30.0000,0,30
370,376,394,425,1.0000,0,1
1567,298,1591,344,18.0000,0,18
457,305,482,348,9.0000,0,9
874,222,890,264,15.0000,0,15
433,293,459,327,11.0000,0,11
846,210,869,250,21.0000,0,21
885,317,905,361,13.0000,0,13
1802,388,1837,443,2.0000,0,2
670,326,703,369,12.0000,0,12
628,221,653,263,19.0000,0,19
610,193,634,230,20.0000,0,20
654,109,674,151,33.0000,0,33
945,261,968,306,4.0000,0,4
