5,834,241,874,289,0.9340,2
5,932,266,967,327,0.9260,2
5,286,438,319,502,0.9247,2
5,319,794,371,867,0.9230,2
5,1009,144,1043,193,0.9225,2
5,301,521,344,589,0.9180,2
5,1128,481,1156,543,0.9131,2
5,877,574,928,637,0.9125,2
5,1476,223,1507,273,0.9118,2
5,1292,811,1339,889,0.9117,2
5,558,92,591,141,0.9112,2
5,1664,462,1694,523,0.9105,2
5,352,372,401,424,0.9085,2
5,432,205,481,261,0.9066,2
5,763,398,796,456,0.9028,2
5,726,348,758,400,0.8979,2
5,1134,348,1156,405,0.8891,2
5,924,198,956,247,0.8641,2
5,874,146,905,187,0.8087,2
5,899,157,929,205,0.7698,2
5,457,70,494,118,0.7372,2
5,1715,323,1743,383,0.7256,2
5,1799,50,1836,106,0.6127,3
