165,653,240,677,285,0.9172,2
165,1411,662,1449,731,0.9158,2
165,1616,481,1654,531,0.9125,2
165,786,211,803,255,0.9056,2
165,1634,304,1662,350,0.9049,2
165,600,239,625,287,0.9033,2
165,793,404,817,451,0.9017,2
165,337,361,353,411,0.8997,2
165,587,441,613,494,0.8996,2
165,907,295,929,340,0.8986,2
165,1886,402,1908,457,0.8977,2
165,974,212,987,259,0.8971,2
165,1297,393,1317,442,0.8968,2
165,1008,260,1033,306,0.8949,2
165,504,295,520,342,0.8881,2
165,518,210,544,252,0.8802,2
165,609,330,627,375,0.8797,2
165,593,291,608,336,0.8196,2
165,1834,1000,1881,1069,0.7146,3
165,270,115,285,154,0.6075,2
165,1089,92,1108,124,0.4022,3
