25,986,548,1062,637,0.9226,2
25,672,710,726,836,0.9168,2
25,1608,558,1689,659,0.9099,2
25,1527,706,1590,829,0.8990,2
25,1544,443,1588,527,0.8872,2
25,881,604,923,710,0.8866,2
25,1640,451,1699,532,0.8850,2
25,1320,476,1370,564,0.8753,2
25,893,552,938,641,0.8534,2
25,1561,529,1588,588,0.8355,2
25,238,509,277,612,0.8256,2
25,1514,394,1537,462,0.8186,3
25,1873,588,1920,694,0.8158,2
25,1873,588,1920,695,0.7498,3
25,1519,516,1533,529,0.6912,0
25,1564,493,1597,565,0.6338,2
25,1553,708,1612,808,0.5671,2
